Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
group_12823,group_12823,1484158.PSNIH1_20185,9.94e-199,560.0,"COG0616@1|root,COG0616@2|Bacteria,1MUXE@1224|Proteobacteria,1RNYW@1236|Gammaproteobacteria,3W1WW@53335|Pantoea",2|Bacteria,OU,Peptidase family S49,sppA,-,-,"ko:K04773,ko:K04774",-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Peptidase_S49,True
group_14368,group_14368,1484158.PSNIH1_19790,7.65e-58,187.0,"2AUYU@1|root,31KND@2|Bacteria,1QII1@1224|Proteobacteria,1TGCQ@1236|Gammaproteobacteria,3W1WX@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_1861,group_1861,1484157.PSNIH2_21765,3.65e-20,82.4,"2AN8H@1|root,31D6J@2|Bacteria,1QA9X@1224|Proteobacteria,1TDZN@1236|Gammaproteobacteria,3W2H8@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_2043,group_2043,1484157.PSNIH2_21980,3.65e-34,123.0,"2AUZS@1|root,31KPJ@2|Bacteria,1QIJ8@1224|Proteobacteria,1TGE3@1236|Gammaproteobacteria,3W233@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_48816,group_48816,1484158.PSNIH1_19710,2.8599999999999998e-188,525.0,"2AUZJ@1|root,31KP9@2|Bacteria,1QIJ0@1224|Proteobacteria,1TGDU@1236|Gammaproteobacteria,3W21N@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_8430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_29607,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_15785,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_29049,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_12667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_45806,group_45806,1484158.PSNIH1_20310,3.2e-128,367.0,"COG4245@1|root,COG4245@2|Bacteria,1MVUE@1224|Proteobacteria,1RQ4Q@1236|Gammaproteobacteria,3W1WS@53335|Pantoea",2|Bacteria,S,von Willebrand factor type A domain,terY,-,-,-,-,-,-,-,-,-,-,-,"VWA,VWA_2",False
group_33301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_15135,group_15135,1484158.PSNIH1_20070,2.9899999999999996e-219,605.0,"COG0053@1|root,COG0053@2|Bacteria,1MUDS@1224|Proteobacteria,1RNS2@1236|Gammaproteobacteria,3W1PN@53335|Pantoea",2|Bacteria,U,Dimerisation domain of Zinc Transporter,fieF,-,-,-,-,-,-,-,-,-,-,-,"Cation_efflux,ZT_dimer",True
group_15962,group_15962,1484158.PSNIH1_20155,7.889999999999999e-48,158.0,"2AUXZ@1|root,31KMG@2|Bacteria,1QIH4@1224|Proteobacteria,1TGBR@1236|Gammaproteobacteria,3W1S6@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_21959,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_25323,group_25323,1484157.PSNIH2_22920,3.34e-11,59.7,"2BI3H@1|root,32C8M@2|Bacteria,1QJCV@1224|Proteobacteria,1THC3@1236|Gammaproteobacteria,3W2GA@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_45238,group_45238,469595.CSAG_04328,1.2300000000000001e-217,604.0,"COG4245@1|root,COG4245@2|Bacteria,1MU0Z@1224|Proteobacteria,1RRU5@1236|Gammaproteobacteria",2|Bacteria,S,"von willebrand factor, type A",-,-,-,-,-,-,-,-,-,-,-,-,"TerY_C,VWA,VWA_2",False
trhO,trhO,1484158.PSNIH1_19650,6.000000000000002e-168,476.0,"2AUZ6@1|root,31KNR@2|Bacteria,1QIIC@1224|Proteobacteria,1TGD4@1236|Gammaproteobacteria,3W1YF@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_29071,group_29071,1484157.PSNIH2_22840,7.06e-60,198.0,"2AV02@1|root,31KPW@2|Bacteria,1QIJM@1224|Proteobacteria,1TGEJ@1236|Gammaproteobacteria,3W25E@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_46748,group_46748,1484158.PSNIH1_19745,1.69e-241,667.0,"2AUZQ@1|root,31KPG@2|Bacteria,1QIJ5@1224|Proteobacteria,1TGE1@1236|Gammaproteobacteria,3W22J@53335|Pantoea",2|Bacteria,S,Protein of unknown function (DUF3150),-,-,-,-,-,-,-,-,-,-,-,-,DUF3150,True
trhU,trhU,1484158.PSNIH1_19695,3.76e-88,275.0,"28KEF@1|root,2ZA0P@2|Bacteria,1R41Q@1224|Proteobacteria,1S1KA@1236|Gammaproteobacteria,3W2T2@53335|Pantoea",2|Bacteria,S,Type-F conjugative transfer system pilin assembly protein,-,-,-,ko:K12061,-,-,-,-,"ko00000,ko02044",3.A.7.11.1,-,-,TrbC_Ftype,True
group_11056,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_15017,group_15017,1484158.PSNIH1_19750,2.11e-260,739.0,"COG4548@1|root,COG4548@2|Bacteria,1QFBU@1224|Proteobacteria,1TCIC@1236|Gammaproteobacteria,3W2HN@53335|Pantoea",2|Bacteria,P,von Willebrand factor type A domain,-,-,-,-,-,-,-,-,-,-,-,-,"AAA_5,CobT,CobT_C,VWA",True
group_43775,group_43775,1484158.PSNIH1_19830,2.36e-42,138.0,"2CN5N@1|root,31KT4@2|Bacteria,1QINM@1224|Proteobacteria,1TGHY@1236|Gammaproteobacteria,3W2F6@53335|Pantoea",2|Bacteria,S,Haemolysin expression modulating protein,-,-,-,ko:K05839,-,-,-,-,"ko00000,ko02048",-,-,-,HHA,True
