Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
silS~~~cusS,silS~~~cusS,502347.ESCAB7627_4465,0.0,941.0,"COG5002@1|root,COG5002@2|Bacteria,1QTV1@1224|Proteobacteria,1T1I6@1236|Gammaproteobacteria,3XPHY@561|Escherichia",2|Bacteria,T,Member of a two-component regulatory system,cusS,-,2.7.13.3,"ko:K07636,ko:K07642,ko:K07644","ko02020,map02020","M00434,M00450,M00452,M00645,M00646,M00648,M00745",-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko01504,ko02022",-,-,-,"HAMP,HATPase_c,HisKA",True
copC~~~pcoC,copC~~~pcoC,1115512.EH105704_07_01700,3.3e-77,231.0,"COG2372@1|root,COG2372@2|Bacteria,1RANJ@1224|Proteobacteria,1SYGY@1236|Gammaproteobacteria,3XPR5@561|Escherichia",2|Bacteria,S,CopC domain,copC,-,-,ko:K07156,-,-,-,-,"ko00000,ko02000",9.B.62.2,-,-,CopC,True
group_15120,group_15120,1166130.H650_00265,1.85e-173,484.0,"COG3316@1|root,COG3316@2|Bacteria,1MWZ2@1224|Proteobacteria,1RRC2@1236|Gammaproteobacteria,3X3BR@547|Enterobacter",2|Bacteria,L,Transposase IS66 family,-,-,-,ko:K18320,-,-,-,-,ko00000,-,-,-,DDE_Tnp_IS240,False
group_44921,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
terZ~~~terD~~~terF,terZ~~~terD~~~terF,469595.CSAG_04345,2.48e-292,798.0,"COG2304@1|root,COG2310@1|root,COG2304@2|Bacteria,COG2310@2|Bacteria,1N920@1224|Proteobacteria,1RPDN@1236|Gammaproteobacteria",2|Bacteria,T,tellurium resistance protein,ycbR,-,-,-,-,-,-,-,-,-,-,-,"TerD,vWA-TerF-like",True
group_46140,group_46140,716541.ECL_A184,1.17e-120,345.0,"2C513@1|root,33TGP@2|Bacteria,1NRNV@1224|Proteobacteria,1SKH3@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_47072,group_47072,716541.ECL_A116,1.6899999999999998e-204,567.0,"2CGWN@1|root,33RTS@2|Bacteria,1NS5W@1224|Proteobacteria,1SMWH@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_45806,group_45806,1484158.PSNIH1_20310,3.2e-128,367.0,"COG4245@1|root,COG4245@2|Bacteria,1MVUE@1224|Proteobacteria,1RQ4Q@1236|Gammaproteobacteria,3W1WS@53335|Pantoea",2|Bacteria,S,von Willebrand factor type A domain,terY,-,-,-,-,-,-,-,-,-,-,-,"VWA,VWA_2",False
group_43361,group_43361,55207.KP22_18640,1.55e-195,543.0,"COG2801@1|root,COG2801@2|Bacteria,1MVN5@1224|Proteobacteria,1RP6D@1236|Gammaproteobacteria,1MSEE@122277|Pectobacterium",2|Bacteria,L,Integrase core domain,-,-,-,ko:K07497,-,-,-,-,ko00000,-,-,-,"HTH_21,rve,rve_3",False
group_23204,group_23204,1115512.EH105704_07_01730,3.02e-68,210.0,"28MD3@1|root,2ZAQZ@2|Bacteria,1QSMW@1224|Proteobacteria,1RSHN@1236|Gammaproteobacteria,3XNJ1@561|Escherichia",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
