Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
group_35446,group_35446,693444.D782_2476,2.22e-59,185.0,"2A15P@1|root,30PBM@2|Bacteria,1RIAC@1224|Proteobacteria,1S8B1@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_37875,group_37875,693444.D782_2478,2.67e-93,275.0,"2D485@1|root,32TGJ@2|Bacteria,1PBDU@1224|Proteobacteria,1S02H@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_48555,group_48555,1045856.EcWSU1_02436,7.980000000000001e-103,305.0,"2CB53@1|root,2ZB3U@2|Bacteria,1R850@1224|Proteobacteria,1S00X@1236|Gammaproteobacteria,3X33I@547|Enterobacter",2|Bacteria,S,Replication protein P,-,-,-,-,-,-,-,-,-,-,-,-,Phage_lambda_P,False
group_44595,group_44595,693444.D782_2473,8.58e-145,413.0,"COG5492@1|root,COG5492@2|Bacteria,1RBKG@1224|Proteobacteria,1T0IK@1236|Gammaproteobacteria",2|Bacteria,N,"Phage tail tube protein, TTP",BB2227,-,-,-,-,-,-,-,-,-,-,-,"Big_2,Phage_tail_3",False
group_30667,group_30667,693444.D782_2483,0.0,892.0,"28KYW@1|root,2ZAE8@2|Bacteria,1MX3D@1224|Proteobacteria,1RQQR@1236|Gammaproteobacteria",2|Bacteria,S,Domain of unknown function (DUF4055),-,-,-,-,-,-,-,-,-,-,-,-,DUF4055,False
group_36775,group_36775,693444.D782_2469,3.22e-71,215.0,"COG4718@1|root,COG4718@2|Bacteria,1MZYW@1224|Proteobacteria,1S9IT@1236|Gammaproteobacteria",2|Bacteria,S,minor tail family protein,-,-,-,-,-,-,-,-,-,-,-,-,Phage_min_tail,False
group_41850,group_41850,693444.D782_2470,0.0,1450.0,"COG1196@1|root,COG1196@2|Bacteria,1MU81@1224|Proteobacteria,1RS6P@1236|Gammaproteobacteria",2|Bacteria,D,tail length tape measure,sca1,-,-,-,-,-,-,-,-,-,-,-,"Autotransporter,DUF4114,PhageMin_Tail,Phage_HK97_TLTM,TMP_2,Tape_meas_lam_C,VPEP",False
group_34101,group_34101,693444.D782_2468,7.3e-176,491.0,"COG4672@1|root,COG4672@2|Bacteria,1N0JB@1224|Proteobacteria,1RNTC@1236|Gammaproteobacteria",2|Bacteria,S,Phage minor tail protein L,L,-,-,-,-,-,-,-,-,-,-,-,Phage_tail_L,False
group_48495,group_48495,1115515.EV102420_36_00140,1.34e-78,236.0,"COG2932@1|root,COG2932@2|Bacteria,1RKB8@1224|Proteobacteria,1S8AQ@1236|Gammaproteobacteria",2|Bacteria,K,Helix-turn-helix,-,-,-,-,-,-,-,-,-,-,-,-,"HTH_3,Peptidase_S24",False
group_42425,group_42425,693444.D782_2472,8.74e-61,192.0,"2BP8W@1|root,32I0F@2|Bacteria,1MYWF@1224|Proteobacteria,1S8HK@1236|Gammaproteobacteria",2|Bacteria,S,Phage tail assembly chaperone,-,-,-,-,-,-,-,-,-,-,-,-,Phage_TAC_4,False
group_44119,group_44119,693444.D782_2482,1.63e-227,639.0,"COG2369@1|root,COG2369@2|Bacteria,1PUNX@1224|Proteobacteria,1S0QA@1236|Gammaproteobacteria,283DZ@191675|unclassified Enterobacteriaceae",2|Bacteria,S,Head morphogenesis protein,-,-,-,-,-,-,-,-,-,-,-,-,Phage_Mu_F,False
group_43234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_47959,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_48425,group_48425,1045856.EcWSU1_02431,5.119999999999999e-180,503.0,"COG0484@1|root,COG0484@2|Bacteria,1QHJU@1224|Proteobacteria,1RQCY@1236|Gammaproteobacteria,3X3BH@547|Enterobacter",2|Bacteria,O,Antitermination protein,-,-,-,-,-,-,-,-,-,-,-,-,"Antiterm,DnaJ",False
group_35961,group_35961,693444.D782_2484,0.0,871.0,"COG1783@1|root,COG1783@2|Bacteria,1MWGP@1224|Proteobacteria,1RMTH@1236|Gammaproteobacteria",2|Bacteria,S,Terminase RNaseH-like domain,-,-,-,-,-,-,-,-,-,-,-,-,"Terminase_6,Terminase_6C",False
xtmA,xtmA,1045856.EcWSU1_02425,1.2799999999999998e-140,413.0,"COG3728@1|root,COG3728@2|Bacteria,1R986@1224|Proteobacteria,1RYYD@1236|Gammaproteobacteria,3X2WC@547|Enterobacter",2|Bacteria,L,terminase small subunit,-,-,-,ko:K07474,-,-,-,-,ko00000,-,-,-,Terminase_2,True
group_48439,group_48439,35703.DQ02_12490,9.769999999999999e-42,137.0,"2DN8A@1|root,32W2I@2|Bacteria,1PCVC@1224|Proteobacteria,1SY0A@1236|Gammaproteobacteria,3WZQF@544|Citrobacter",35703.DQ02_12490|-,S,DinI-like family,-,-,-,-,-,-,-,-,-,-,-,-,-,False
