Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
group_35076,group_35076,1215092.PA6_046_00270,3.49e-05,47.8,"28QDM@1|root,2ZCVZ@2|Bacteria,1P5MR@1224|Proteobacteria,1SW6Y@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
traF~~~trbA,traF~~~trbA,572265.HDEF_p0018,1.03e-28,119.0,"COG1651@1|root,COG1651@2|Bacteria,1MYHA@1224|Proteobacteria,1S7JM@1236|Gammaproteobacteria,283GG@191675|unclassified Enterobacteriaceae",2|Bacteria,O,Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process,trbB,-,-,ko:K12228,-,-,-,-,"ko00000,ko02044",3.A.7.10.1,-,-,"DSBA,Thioredoxin_2",True
group_18896,group_18896,1229485.AMYV01000119_gene3520,2.85e-14,72.8,"2E8NX@1|root,33304@2|Bacteria,1NEFP@1224|Proteobacteria,1SQTB@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RHH_1,True
group_14391,group_14391,573.JG24_01860,3.49e-102,295.0,"2921C@1|root,2ZPKK@2|Bacteria,1REBZ@1224|Proteobacteria,1S3SZ@1236|Gammaproteobacteria",2|Bacteria,S,antirestriction protein,-,-,-,-,-,-,-,-,-,-,-,-,Antirestrict,True
repC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_21359,group_21359,1224136.AMFN01000014_gene2603,2.13e-103,317.0,"COG2805@1|root,COG2805@2|Bacteria,1MU3J@1224|Proteobacteria,1RN8G@1236|Gammaproteobacteria,2830N@191675|unclassified Enterobacteriaceae",2|Bacteria,NU,Type II/IV secretion system protein,dotB,-,-,"ko:K02669,ko:K02670,ko:K12203",-,-,-,-,"ko00000,ko02035,ko02044","3.A.15.2,3.A.7.10.1,3.A.7.9.1",-,-,T2SSE,True
group_26786,group_26786,1198232.CYCME_3050,5.54e-16,73.2,"2E68H@1|root,330WQ@2|Bacteria,1ND48@1224|Proteobacteria,1SF4U@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
blaOXA~~~blaOXA48,blaOXA~~~blaOXA48,211586.SO_0837,3.01e-182,508.0,"COG2602@1|root,COG2602@2|Bacteria,1NWXE@1224|Proteobacteria,1RZ9U@1236|Gammaproteobacteria,2QBAC@267890|Shewanellaceae",2|Bacteria,V,PFAM penicillin-binding protein transpeptidase,bla,-,3.5.2.6,"ko:K17838,ko:K18793,ko:K18794,ko:K18973,ko:K18976,ko:K19210,ko:K19211,ko:K19213,ko:K19318,ko:K19321,ko:K21277,ko:K22333,ko:K22351,ko:K22352","ko01501,map01501",-,R06363,RC01499,"br01600,ko00000,ko00001,ko01000,ko01504",-,-,-,Transpeptidase,True
group_45872,group_45872,573.JG24_01780,3.84e-51,161.0,"2CFD2@1|root,2ZS6H@2|Bacteria,1PB0W@1224|Proteobacteria,1ST6V@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
group_50980,group_50980,1229485.AMYV01000083_gene3481,3.33e-22,95.1,"2BF2T@1|root,328UU@2|Bacteria,1RM2Z@1224|Proteobacteria,1S7DC@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True
