Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
group_46247,group_46247,198214.SF4284,2.86e-118,338.0,"COG1662@1|root,COG1662@2|Bacteria,1NHAK@1224|Proteobacteria,1RQRY@1236|Gammaproteobacteria",2|Bacteria,L,cog cog1662,-,-,-,ko:K07480,-,-,-,-,ko00000,-,-,-,"DDE_Tnp_IS1,Zn_Tnp_IS1",True
group_46242,group_46242,1484158.PSNIH1_19920,6.33e-227,626.0,"COG0604@1|root,COG0604@2|Bacteria,1MV3W@1224|Proteobacteria,1RMHG@1236|Gammaproteobacteria,3VXV3@53335|Pantoea",2|Bacteria,C,"Quinone oxidoreductase, YhdH YhfP family",yhdH,-,-,ko:K19745,"ko00640,ko01100,map00640,map01100",-,R00919,RC00095,"ko00000,ko00001,ko01000",-,-,-,"ADH_N,ADH_zinc_N",True
group_41120,group_41120,319224.Sputcn32_0216,3.2e-63,192.0,"COG3677@1|root,COG3677@2|Bacteria,1RIB2@1224|Proteobacteria,1S61N@1236|Gammaproteobacteria",2|Bacteria,L,cog cog3677,-,-,-,-,-,-,-,-,-,-,-,-,"DDE_Tnp_IS1,HTH_Tnp_IS1,Zn_Tnp_IS1",True
group_46361,group_46361,1484158.PSNIH1_20770,4.4300000000000004e-273,746.0,"COG1902@1|root,COG1902@2|Bacteria,1MVIX@1224|Proteobacteria,1RMFI@1236|Gammaproteobacteria,3VZXA@53335|Pantoea",2|Bacteria,C,flavin oxidoreductase,nemA,-,-,ko:K10680,"ko00633,ko01120,map00633,map01120",-,"R08014,R08017,R08042",RC00250,"ko00000,ko00001,ko01000",-,-,-,Oxidored_FMN,False
group_15818,group_15818,1484158.PSNIH1_20755,1.29e-180,507.0,"COG0697@1|root,COG0697@2|Bacteria,1N5ZD@1224|Proteobacteria,1RRU6@1236|Gammaproteobacteria,3W1G8@53335|Pantoea",2|Bacteria,EG,EamA-like transporter family,MA20_35690,-,-,-,-,-,-,-,-,-,-,-,EamA,False
group_23042,group_23042,1484158.PSNIH1_20790,0.0,1357.0,"COG0582@1|root,COG0582@2|Bacteria,1R9JZ@1224|Proteobacteria,1RY18@1236|Gammaproteobacteria,3W1YJ@53335|Pantoea",2|Bacteria,L,viral genome integration into host DNA,-,-,-,-,-,-,-,-,-,-,-,-,Phage_integrase,False
group_48854,group_48854,1225785.CM001983_gene3524,1.1899999999999999e-55,174.0,"COG2963@1|root,COG2963@2|Bacteria,1RKC9@1224|Proteobacteria,1S7IU@1236|Gammaproteobacteria,2JED4@204037|Dickeya",2|Bacteria,L,PFAM transposase IS3 IS911 family protein,-,-,-,ko:K07483,-,-,-,-,ko00000,-,-,-,HTH_Tnp_1,True
group_12712,group_12712,1484158.PSNIH1_20800,8.8e-303,825.0,"COG0582@1|root,COG0582@2|Bacteria,1R96H@1224|Proteobacteria,1RZPN@1236|Gammaproteobacteria,3W1SJ@53335|Pantoea",2|Bacteria,L,Phage integrase family,-,-,-,-,-,-,-,-,-,-,-,-,Phage_integrase,False
group_6495,group_6495,1484158.PSNIH1_20730,9.67e-65,199.0,"29YW7@1|root,30KSP@2|Bacteria,1R338@1224|Proteobacteria,1T62F@1236|Gammaproteobacteria,3W1FC@53335|Pantoea",2|Bacteria,S,Transposase IS66 family,-,-,-,ko:K07484,-,-,-,-,ko00000,-,-,-,DDE_Tnp_IS66,True
group_2114,group_2114,1484158.PSNIH1_19955,9.05e-67,203.0,"2FIPN@1|root,34AFE@2|Bacteria,1P2Q0@1224|Proteobacteria,1SRYV@1236|Gammaproteobacteria,3W292@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_46968,group_46968,1484158.PSNIH1_20725,0.0,1722.0,"COG0178@1|root,COG0178@2|Bacteria,1MX79@1224|Proteobacteria,1RYSZ@1236|Gammaproteobacteria,3W018@53335|Pantoea",2|Bacteria,L,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate",uvrA2,-,-,ko:K03701,"ko03420,map03420",-,-,-,"ko00000,ko00001,ko03400",-,-,-,ABC_tran,True
insE~~~tnp~~~ykgN~~~tnpP,insE~~~tnp~~~ykgN~~~tnpP,1267600.JFGT01000005_gene3034,8.849999999999999e-38,132.0,"COG2963@1|root,COG2963@2|Bacteria,1MZ5C@1224|Proteobacteria,1S9KN@1236|Gammaproteobacteria,3W0ZX@53335|Pantoea",2|Bacteria,L,Transposase,-,-,-,ko:K07483,-,-,-,-,ko00000,-,-,-,HTH_Tnp_1,False
group_12776,group_12776,1484158.PSNIH1_19930,1.9399999999999997e-54,171.0,"COG1396@1|root,COG1396@2|Bacteria,1NE94@1224|Proteobacteria,1SAHI@1236|Gammaproteobacteria,3W19D@53335|Pantoea",2|Bacteria,K,Helix-turn-helix domain,hipB,-,-,ko:K15773,-,-,-,-,"ko00000,ko02048,ko03000",-,-,-,"HTH_3,HTH_31",False
group_13444,group_13444,1484158.PSNIH1_20750,1.14e-169,478.0,"COG2207@1|root,COG2207@2|Bacteria,1R71R@1224|Proteobacteria,1RXPR@1236|Gammaproteobacteria,3W1T0@53335|Pantoea",2|Bacteria,K,Helix-turn-helix domain,ybcM,-,-,-,-,-,-,-,-,-,-,-,"AraC_N,HTH_18",False
group_15131,group_15131,1484158.PSNIH1_20795,0.0,1176.0,"2AUXM@1|root,31KM4@2|Bacteria,1QIGR@1224|Proteobacteria,1TGBA@1236|Gammaproteobacteria,3W1PE@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_12913,group_12913,340.xcc-b100_0310,4.2e-67,218.0,"COG0583@1|root,COG0583@2|Bacteria,1MU2E@1224|Proteobacteria,1RQ66@1236|Gammaproteobacteria,1X3QJ@135614|Xanthomonadales",2|Bacteria,K,Transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,-,"HTH_1,LysR_substrate",False
group_46274,group_46274,1484158.PSNIH1_20775,2.16e-68,207.0,"COG0640@1|root,COG0640@2|Bacteria,1N0DR@1224|Proteobacteria,1SAAE@1236|Gammaproteobacteria,3W0Y2@53335|Pantoea",2|Bacteria,K,"helix_turn_helix, Arsenical Resistance Operon Repressor",arsR,-,-,-,-,-,-,-,-,-,-,-,"HTH_20,HTH_5",False
gloB,gloB,1484158.PSNIH1_20760,2.97e-211,583.0,"COG0491@1|root,COG0491@2|Bacteria,1MY6G@1224|Proteobacteria,1RRBB@1236|Gammaproteobacteria,3W0QW@53335|Pantoea",2|Bacteria,S,Metallo-beta-lactamase superfamily,-,-,-,-,-,-,-,-,-,-,-,-,Lactamase_B,False
group_14794,group_14794,1484158.PSNIH1_20785,2.58e-91,268.0,"2AUWY@1|root,31KKC@2|Bacteria,1QIFT@1224|Proteobacteria,1TGA3@1236|Gammaproteobacteria,3W1JA@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
